Facility name,Responsible emitter,State/Territory of operation,ANZSIC,ERC,Baseline emissions number,Covered emissions,Borrowing adjustment amount,ACCUs issued,ACCUs deemed surrendered,ACCUs surrendered,SMCs surrendered,Net emissions number,Net position number,SMCs Issued,Cumulative MYMP net emissions number,Cumulative MYMP net position number,GHG Carbon Dioxide,GHG Methane,GHG Nitrous oxide,GHG Other,Notes
Batchfire Resources No.1,BATCHFIRE RESOURCES PTY LTD,QLD,Coal mining (060),0.951,"161,762 ","218,872 ", -   , -   , -   , -   , -   ," 218,872 ","57,110 ", -   ," 218,872 ","57,110 "," 217,940 ", 307 , 621 , 4 ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Beharra Springs,BEACH ENERGY LIMITED,WA,Oil and gas extraction (070),0.951,"100,000 ","145,438 ", -   , -   , -   ," 45,438 ", -   ," 100,000 ", -   , -   , - ,-," 137,169 "," 7,453 ", 816 , -   ,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page. "
Bell Bay Smelter,RIO TINTO ALUMINIUM (BELL BAY) LIMITED,TAS,Basic non-ferrous metal manufacturing (213),0.99,"353,471 ","351,701 ", -   , -   , -   , -   , -   ," 351,701 ","-1,770 "," 1,770 ", - ,-," 329,886 ", 53 , 21 ," 21,741 ",-
Bengalla Operations,Bengalla Mining Company Pty Limited,NSW,Coal mining (060),0.951,"519,270 ","626,511 ", -   , -   , -   ," 107,241 ", -   ," 519,270 ", -   , -   , - ,-," 213,856 "," 412,057 ", 581 , 17 ,-
Birkenhead Operations,ADBRI LIMITED,SA,"Cement, lime, plaster and concrete product manufacturing (203)",0.951,"877,429 ","809,431 ", -   ," 38,998 ", -   , -   , -   ," 848,429 ","-29,000 "," 29,000 ", - ,-," 807,422 ", 425 ," 1,584 ", -   ,-
Blackwater Mine,WHITEHAVEN BLACKWATER PTY LTD,QLD,Coal mining (060),0.951,"156,081 ","190,372 ", -   , -   , -   ," 34,291 ", -   ," 156,081 ", -   , -   , - ,-," 79,800 "," 110,315 ", 232 , 25 ,-
Blackwater Mine,BM Alliance Coal Operations Pty Limited,QLD,Coal mining (060),0.951,"485,780 ","531,681 ", -   , -   , -   ," 45,901 ", -   ," 485,780 ", -   , -   , - ,-," 249,529 "," 281,413 ", 723 , 16 ,-
Boggabri Coal Minesite,BOGGABRI COAL PTY LIMITED,NSW,Coal mining (060),0.951,"206,330 ","210,390 ", -   , -   , -   ," 4,060 ", -   ," 206,330 ", -   , -   , - ,-," 209,101 ", 700 , 585 , 4 ,-
Boyne Smelters Limited,RIO TINTO ALUMINIUM LIMITED,QLD,Basic non-ferrous metal manufacturing (213),0.99,"931,303 ","921,558 ", -   , -   , -   , -   , -   ," 921,558 ","-9,745 "," 9,745 ", - ,-," 881,347 ", 145 , 55 ," 40,011 ",-
Brockman 2 / Nammuldi Mines,Hamersley Iron Pty. Limited,WA,Metal ore mining (080),0.951,"185,088 ","312,410 ", -   , -   , -   ," 127,322 ", -   ," 185,088 ", -   , -   , - ,-," 311,071 ", 445 , 894 , -   ,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page. "
Brockman 4 Mine,Hamersley Iron Pty. Limited,WA,Metal ore mining (080),0.951,"142,158 ","236,261 ", -   , -   , -   ," 94,103 ", -   ," 142,158 ", -   , -   , - ,-," 235,247 ", 337 , 677 , -   ,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page. "
Bulga Coal Complex,BULGA COAL MANAGEMENT PTY LIMITED,NSW,Coal mining (060),0.951,"656,158 ","527,889 ", -   , -   , -   , -   , -   ," 527,889 ","-128,269 "," 128,269 ", - ,-," 290,944 "," 236,084 ", 847 , 14 ,-
Burton Complex,BOWEN COKING COAL LIMITED,QLD,Coal mining (060),0.951,"165,342 ","167,954 ", -   , -   , -   ," 2,612 ", -   ," 165,342 ", -   , -   , - ,-," 89,538 "," 78,153 ", 262 , 1 ,-
Byerwen Mine,BYERWEN COAL PTY LTD,QLD,Coal mining (060),0.951,"360,395 ","432,031 ", -   , -   , -   ," 71,636 ", -   ," 360,395 ", -   , -   , - ,-," 214,806 "," 216,575 ", 650 , -   ,-
CAN01,South32 Cannington Proprietary Limited,QLD,Metal ore mining (080),0.951,"116,579 ","123,595 ", -   , -   , -   ," 7,016 ", -   ," 116,579 ", -   , -   , - ,-," 123,232 ", 230 , 113 , 20 ,-
Capcoal Mine,ANGLO COAL (CAPCOAL MANAGEMENT) PTY LIMITED,QLD,Coal mining (060),0.951,"2,070,902 ","1,048,254 ", -   , -   , -   , -   , -   ," 1,048,254 ","-1,022,648 "," 1,022,648 ", - ,-," 187,018 "," 860,620 ", 550 , 66 ,-
Carborough Downs Coal Mine,FITZROY (CQ) PTY LTD,QLD,Coal mining (060),0.951,"419,085 ","589,348 ", -   , -   , -   , -   , -   ," 589,348 ","170,263 ", -   ," 2,548,110 ","546,906 "," 43,333 "," 545,831 ", 181 , 3 ,"Please refer to the excess emissions situation table for more information. Please refer to the Multi-year monitoring period reported emissions data table for more information."
Carmichael Coal Mine,Adani Mining Pty Ltd,QLD,Coal mining (060),0.951,"1,026,479 ","675,247 ", -   , -   , -   , -   , -   ," 675,247 ","-351,232 "," 351,232 ", - ,-," 238,123 "," 436,436 ", 688 , -   ,-
Carosue Dam Operations,NORTHERN STAR (CAROSUE DAM) PTY LTD,WA,Metal ore mining (080),0.951,"103,274 ","102,722 ", -   , -   , -   ," 5,273 ", -   ," 97,449 ","-5,825 ", -   ," 320,194 ", -   ," 102,352 ", 170 , 192 , 8 ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Caval Ridge Mine,BM Alliance Coal Operations Pty Limited,QLD,Coal mining (060),0.951,"254,032 ","324,232 ", -   , -   , -   ," 70,200 ", -   ," 254,032 ", -   , -   , - ,-," 319,134 "," 4,174 ", 910 , 14 ,-
CEM NSW Berrima Maldon,Boral Limited,NSW,"Cement, lime, plaster and concrete product manufacturing (203)",0.951,"1,015,917 ","952,073 ", -   , -   , -   , -   , -   ," 952,073 ","-63,844 "," 63,844 ", - ,-," 949,944 ", 265 ," 1,864 ", -   ,-
Centurion Coal Mine,Centurion Coal Mining Pty Ltd,QLD,Coal mining (060),0.951,"100,000 ","174,917 ", -   , -   , -   ," 74,917 ", -   ," 100,000 ", -   , -   , - ,-," 21,856 "," 152,959 ", 101 , 1 ,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page. "
Chain Valley Colliery,Delta Electricity Pty Ltd,NSW,Coal mining (060),0.951,"588,821 ","588,821 "," 15,602 ", -   , -   , -   , -   ," 588,821 ", -   , -   , - ,-," 23,771 "," 565,038 ", 3 , 9 ,-
Chandala Processing Plant,Tronox Management Pty Ltd,WA,Basic chemical manufacturing (181),0.951,"204,507 ","227,722 ", -   , -   , -   , -   ," 23,215 "," 204,507 ", -   , -   , - ,-," 227,692 ", 22 , 8 , -   ,-
Christmas Creek Mine,CHICHESTER METALS PTY LTD,WA,Metal ore mining (080),0.951,"351,986 ","372,251 ", -   , -   , -   , -   , -   ," 372,251 ","20,265 ", -   ," 372,251 ","20,265 "," 370,600 ", 528 ," 1,095 ", 28 ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Clermont Coal Operations,Clermont Coal Operations Pty Limited,QLD,Coal mining (060),0.951,"170,356 ","148,835 ", -   , -   , -   , -   , -   ," 148,835 ","-21,521 "," 21,521 ", - ,-," 148,194 ", 207 , 424 , 10 ,-
Cloudbreak Mine,CHICHESTER METALS PTY LTD,WA,Metal ore mining (080),0.951,"267,459 ","295,132 ", -   , -   , -   ," 8,411 "," 19,262 "," 267,459 ", -   , -   , - ,-," 293,833 ", 419 , 865 , 15 ,-
Cockburn Operations,ADBRI LIMITED,WA,"Cement, lime, plaster and concrete product manufacturing (203)",0.951,"671,653 ","657,038 ", -   , -   , -   , -   , -   ," 657,038 ","-14,615 "," 14,615 ", - ,-," 656,499 ", 396 , 134 , 9 ,-
Collinsville Mine,NC COAL COMPANY PTY LIMITED,QLD,Coal mining (060),0.951,"100,000 ","69,982 ", -   , -   , -   , -   , -   ," 69,982 ","-30,018 "," 1,899 ", - ,-," 66,959 "," 2,834 ", 187 , 2 ,The facility is an eligible facility under 58B.
Condabri Talinga Orana,ORIGIN ENERGY UPSTREAM OPERATOR PTY LTD,QLD,Oil and gas extraction (070),0.951,"367,391 ","263,344 ", -   , -   , -   , -   , -   ," 263,344 ","-104,047 "," 104,047 ", - ,-," 167,863 "," 94,946 ", 287 , 248 ,-
Cook Colliery,Constellation Mining Pty Ltd,QLD,Coal mining (060),0.951,"100,000 ","98,801 ", -   , -   , -   , -   , -   ," 98,801 ","-1,199 ", -   , - ,-," 5,079 "," 93,714 ", 8 , -   ,The facility is an eligible facility under 58B.
Coppabella Coal Mine,PEABODY ENERGY AUSTRALIA PCI (C&M MANAGEMENT) PTY LTD,QLD,Coal mining (060),0.951,"219,678 ","235,397 ", -   , -   , -   , -   ," 15,719 "," 219,678 ", -   , -   , - ,-," 116,833 "," 118,226 ", 333 , 5 ,-
Cowal Operations,EVOLUTION MINING (COWAL) PTY LIMITED,NSW,Metal ore mining (080),0.951,"148,711 ","82,450 ", -   , -   , -   , -   , -   ," 82,450 ","-66,261 ", -   ," 287,978 ","-60,733 "," 82,078 ", 118 , 248 , 6 ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
CSBP Kwinana Facility,CSBP Limited,WA,Fertiliser and pesticide manufacturing (183),0.951,"734,581 ","671,716 ", -   , -   , -   , -   , -   ," 671,716 ","-62,865 "," 62,865 ", - ,-," 520,542 ", 353 ," 150,815 ", 6 ,-
CTC WA Facility,CENTURION TRANSPORT CO. PTY LTD,WA,Road freight transport (461),0.951,"115,700 ","112,173 ", -   , -   , -   , -   , -   ," 112,173 ","-3,527 "," 3,527 ", - ,-," 111,387 ", 159 , 627 , -   ,-
Curragh Mine,CORONADO AUSTRALIA HOLDINGS PTY LTD,QLD,Coal mining (060),0.951,"598,727 ","909,433 ", -   , -   , -   , -   , -   ," 909,433 ","310,706 ", -   ," 909,433 ","310,706 "," 418,985 "," 489,225 "," 1,205 ", 18 ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Curtis Island GLNG Plant,GLNG OPERATIONS PTY LTD,QLD,Oil and gas extraction (070),0.951,"1,695,720 ","1,635,447 ", -   , -   , -   , -   , -   ," 1,635,447 ","-60,273 "," 60,273 ", - ,-," 1,574,689 "," 59,751 "," 1,006 ", 1 ,-
Dandenong,OCEANIA GLASS PTY LTD,VIC,Glass and glass product manufacturing (201),0.99,"100,000 ","107,278 ", -   , -   , -   , -   , -   ," 107,278 ","7,278 ", -   , - ,-," 107,072 ", 158 , 48 , -   ,Please refer to the excess emissions situation table for more information.
Darwin LNG Plant,Santos Limited,NT,Oil and gas extraction (070),0.951,"100,000 ","241,538 ", -   , -   , -   ," 141,538 ", -   ," 100,000 ", -   , -   , - ,-," 207,289 "," 33,794 ", 455 , -   ,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page. "
Daunia Mine,WHITEHAVEN DAUNIA PTY LTD,QLD,Coal mining (060),0.951,"57,106 ","53,753 ", -   , -   , -   , -   , -   ," 53,753 ","-3,353 "," 3,353 ", - ,-," 42,051 "," 11,570 ", 120 , 12 ,-
Daunia Mine,BM Alliance Coal Operations Pty Limited,QLD,Coal mining (060),0.951,"177,734 ","161,798 ", -   , -   , -   , -   , -   ," 161,798 ","-15,936 "," 15,936 ", - ,-," 126,582 "," 34,848 ", 360 , 8 ,-
Dawson Mine,ANGLO COAL (DAWSON MANAGEMENT) PTY LTD,QLD,Coal mining (060),0.951,"485,823 ","538,741 ", -   , -   , -   ," 24,056 "," 28,862 "," 485,823 ", -   , -   , - ,-," 265,182 "," 272,759 ", 764 , 36 ,-
DBNGP,DBNGP (WA) Transmission Pty Limited,WA,Pipeline and other transport (502),0.951,"241,857 ","250,024 ", -   , -   , -   , -   , -   ," 250,024 ","8,167 ", -   ," 517,202 ","28,983 "," 213,270 "," 36,621 ", 133 , -   ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
DEN01,Dendrobium Coal Pty Ltd,NSW,Coal mining (060),0.951,"143,922 ","379,997 ", -   , -   , -   ," 40,000 "," 196,075 "," 143,922 ", -   , -   , - ,-," 93,618 "," 286,355 ", 18 , 6 ,-
Dongara Operations,ADBRI LIMITED,WA,"Cement, lime, plaster and concrete product manufacturing (203)",0.951,"100,000 ","93,193 ", -   , -   , -   , -   , -   ," 93,193 ","-6,807 "," 2,264 ", - ,-," 93,110 ", 62 , 21 , -   ,The facility is an eligible facility under 58B.
Drake Mine,Drake Mine Management Pty Ltd,QLD,Coal mining (060),0.951,"233,185 ","244,064 ", -   , -   , -   ," 2,244 "," 4,082 "," 237,738 ","4,553 ", -   ," 635,647 ", -   ," 82,742 "," 161,084 ", 238 , -   ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Duketon South Operations,Regis Resources Limited,WA,Metal ore mining (080),0.951,"172,091 ","155,772 ", -   , -   , -   , -   , -   ," 155,772 ","-16,319 "," 16,319 ", - ,-," 155,091 ", 218 , 463 , -   ,-
EGP,Jemena Eastern Gas Pipeline (1) Pty Ltd,NSW; VIC,Gas supply (270),0.951,"100,000 ","80,003 ", -   , -   , -   , -   , -   ," 80,003 ","-19,997 ", -   , - ,-," 70,262 "," 9,700 ", 41 , -   ,The facility is an eligible facility under 58B.
Eliwana Mine,FMG SOLOMON PTY LTD,WA,Metal ore mining (080),0.951,"135,777 ","164,894 ", -   , -   , -   , -   , -   ," 164,894 ","29,117 ", -   ," 164,894 ","29,117 "," 164,172 ", 235 , 487 , -   ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Ensham Coal Mine,ENSHAM RESOURCES PTY. LIMITED,QLD,Coal mining (060),0.951,"272,747 ","254,139 ", -   , -   , -   , -   , -   ," 254,139 ","-18,608 ", -   , - ,-," 41,449 "," 212,587 ", 98 , 5 ,-
Fairview,Santos Limited,QLD,Oil and gas extraction (070),0.951,"289,078 ","214,228 ", -   , -   , -   , -   , -   ," 214,228 ","-74,850 "," 74,850 ", - ,-," 179,607 "," 34,130 ", 214 , 277 ,-
Fimiston Operations,KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD,WA,Metal ore mining (080),0.951,"136,847 ","229,779 ", -   , -   , -   ," 92,932 ", -   ," 136,847 ", -   , -   , - ,-," 228,758 ", 333 , 663 , 25 ,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page. "
Fisherman's Landing,CEMENT AUSTRALIA (QUEENSLAND) PTY LIMITED,QLD,"Cement, lime, plaster and concrete product manufacturing (203)",0.951,"1,597,242 ","1,582,237 ", -   , -   , -   , -   , -   ," 1,582,237 ","-15,005 "," 15,005 ", - ,-," 1,580,505 ", 294 ," 1,438 ", -   ,-
FLNG,SHELL AUSTRALIA PTY LTD,WA,Oil and gas extraction (070),0.951,"2,929,109 ","1,851,848 ", -   , -   , -   , -   , -   ," 1,851,848 ","-1,077,261 "," 1,077,261 ", - ,-," 1,685,154 "," 163,960 "," 2,717 ", 17 ,-
Foxleigh Mine,FOXLEIGH MANAGEMENT PTY LTD,QLD,Coal mining (060),0.951,"215,614 ","265,558 ", -   , -   , -   ," 49,944 ", -   ," 215,614 ", -   , -   , - ,-," 160,203 "," 104,892 ", 463 , -   ,-
Geelong Refinery,Viva Energy Refining Pty Ltd,VIC,Petroleum and coal product manufacturing (170),0.99,"906,089 ","1,051,228 ", -   , -   , -   ," 145,139 ", -   ," 906,089 ", -   , -   , - ,-," 1,039,505 "," 8,662 "," 1,793 "," 1,268 ",-
GEM01,Groote Eylandt Mining Company Proprietary Limited,NT,Metal ore mining (080),0.951,"142,343 ","174,512 ", -   , -   , -   ," 32,169 ", -   ," 142,343 ", -   , -   , - ,-," 173,390 ", 93 ," 1,012 ", 17 ,-
Gibson Island,Incitec Pivot Limited,QLD,Fertiliser and pesticide manufacturing (183),0.951,"100,000 ",170 , -   , -   , -   , -   , -   , 170 ,"-99,830 ", -   , - ,-, 170 , -   , -   , -   ,The facility is an eligible facility under 58B.
Gippsland Basin facility,ESSO AUSTRALIA RESOURCES PTY LTD,VIC,Oil and gas extraction (070),0.951,"1,349,503 ","1,505,497 ", -   , -   , -   ," 155,994 ", -   ," 1,349,503 ", -   , -   , - ,-," 1,385,663 "," 117,174 "," 2,659 ", 1 ,-
Goldfields Gas Transmission Pipeline,Goldfields Gas Transmission Pty Ltd,WA,Pipeline and other transport (502),0.951,"107,870 ","114,123 ", -   , -   , -   ," 6,253 ", -   ," 107,870 ", -   , -   , - ,-," 92,443 "," 21,625 ", 55 , -   ,-
Goonyella Broadmeadow Mine,BM Alliance Coal Operations Pty Limited,QLD,Coal mining (060),0.951,"1,015,171 ","1,257,022 ", -   , -   , -   ," 241,851 ", -   ," 1,015,171 ", -   , -   , - ,-," 498,368 "," 757,040 "," 1,437 ", 177 ,-
Gorgon Operations,CHEVRON AUSTRALIA PTY LTD,WA,Oil and gas extraction (070),0.951,"9,191,453 ","8,802,650 ", -   , -   , -   , -   , -   ," 8,802,650 ","-388,803 "," 388,803 ", - ,-," 8,573,524 "," 221,742 "," 6,777 ", 607 ,-
Gove Operations,RTA GOVE PTY LIMITED,NT,Basic non-ferrous metal manufacturing (213),0.951,"114,808 ","133,829 ", -   , -   , -   ," 19,021 ", -   ," 114,808 ", -   , -   , - ,-," 133,234 ", 191 , 392 , 12 ,-
Granny Smith Mine Site,GSM MINING COMPANY PTY LTD,WA,Metal ore mining (080),0.951,"111,619 ","113,783 ", -   ," 5,856 ", -   ," 8,020 ", -   ," 111,619 ", -   , -   , - ,-," 113,414 ", 206 , 162 , 1 ,-
Greenbushes Lithium Operation,Talison Lithium Australia Pty Ltd,WA,Metal ore mining (080),0.951,"100,000 ","104,303 ", -   , -   , -   ," 4,303 ", -   ," 100,000 ", -   , -   , - ,-," 103,789 ", 148 , 324 , 42 ,-
Grosvenor Mine,ANGLO COAL (MORANBAH NORTH MANAGEMENT) PTY LIMITED,QLD,Coal mining (060),0.951,"1,717,249 ","1,094,252 ", -   , -   , -   , -   , -   ," 1,094,252 ","-622,997 "," 622,997 ", - ,-," 217,351 "," 875,827 "," 1,051 ", 23 ,-
Gruyere Mine Site,Gruyere Mining Company Pty Ltd,WA,Metal ore mining (080),0.951,"186,298 ","204,627 ", -   , -   , -   ," 18,329 ", -   ," 186,298 ", -   , -   , - ,-," 203,981 ", 358 , 288 , -   ,-
Gudai-Darri Mine,Mount Bruce Mining Pty Ltd,WA,Metal ore mining (080),0.951,"604,067 ","129,676 ", -   , -   , -   , -   , -   ," 129,676 ","-474,391 "," 474,391 ", - ,-," 129,122 ", 184 , 370 , -   ,-
Hail Creek Mine,HAIL CREEK COAL PTY LTD,QLD,Coal mining (060),0.951,"1,189,092 ","1,381,195 ", -   , -   , -   ," 192,103 ", -   ," 1,189,092 ", -   , -   , - ,-," 317,301 "," 1,062,986 ", 891 , 17 ,-
Hope Downs 1 Mine,Hamersley HMS Pty Ltd,WA,Metal ore mining (080),0.951,"126,313 ","166,842 ", -   , -   , -   ," 40,529 ", -   ," 126,313 ", -   , -   , - ,-," 166,124 ", 238 , 480 , -   ,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page. "
Hope Downs 4 Mine,Hamersley HMS Pty Ltd,WA,Metal ore mining (080),0.951,"100,000 ","119,586 ", -   , -   , -   ," 19,586 ", -   ," 100,000 ", -   , -   , - ,-," 119,072 ", 170 , 344 , -   ,-
Hunter Valley Operations mine,HV OPERATIONS PTY LTD,NSW,Coal mining (060),0.951,"491,271 ","637,147 ", -   , -   , -   ," 60,000 "," 85,876 "," 491,271 ", -   , -   , - ,-," 367,918 "," 268,211 ", 998 , 20 ,-
HVY01 Hunter Valley Energy Coal - CCL Facility,Hunter Valley Energy Coal Pty Ltd,NSW,Coal mining (060),0.951,"581,285 ","594,767 ", -   , -   , -   ," 13,482 ", -   ," 581,285 ", -   , -   , - ,-," 553,414 "," 39,762 "," 1,584 ", 7 ,-
InfraBuild Steel Laverton Steel Mill,THE AUSTRALIAN STEEL COMPANY (OPERATIONS) PTY LTD,VIC,Basic ferrous metal manufacturing (211),0.951,"112,413 ","113,721 ", -   , -   , -   ," 1,308 ", -   ," 112,413 ", -   , -   , - ,-," 113,533 ", 134 , 43 , 11 ,-
Integra Underground Mine,HV Coking Coal Pty Limited,NSW,Coal mining (060),0.951,"322,546 ","396,320 ", -   , -   , -   ," 73,774 ", -   ," 322,546 ", -   , -   , - ,-," 8,258 "," 388,050 ", 7 , 5 ,-
Iron Bridge Mine,IB Operations Pty Ltd,WA,Metal ore mining (080),0.951,"100,000 ","104,560 ", -   , -   , -   ," 2,414 "," 2,146 "," 100,000 ", -   , -   , - ,-," 104,081 ", 149 , 315 , 15 ,-
Ironbark No. 1,FITZROY (CQ) PTY LTD,QLD,Coal mining (060),0.951,"100,000 ","146,173 ", -   , -   , -   ," 10,000 ", -   ," 136,173 ","36,173 ", -   , - ,-," 45,691 "," 100,211 ", 256 , 15 ,Please refer to the excess emissions situation table for more information.
Isaac Plains Complex,STANMORE RESOURCES LIMITED,QLD,Coal mining (060),0.951,"167,250 ","202,682 ", -   , -   , -   ," 35,432 ", -   ," 167,250 ", -   , -   , - ,-," 91,849 "," 110,562 ", 271 , -   ,-
Jax Mine,Jax Coal Pty Ltd,QLD,Coal mining (060),0.951,"137,609 ","133,527 ", -   , -   , -   , -   , -   ," 133,527 ","-4,082 "," 4,082 ", - ,-," 53,089 "," 80,285 ", 153 , -   ,-
Jellinbah Mine,JELLINBAH MINING PTY LTD,QLD,Coal mining (060),0.951,"321,854 ","364,464 ", -   , -   , -   ," 42,610 ", -   ," 321,854 ", -   , -   , - ,-," 175,104 "," 188,855 ", 505 , -   ,-
JGN,Jemena Gas Networks (NSW) Ltd,NSW,Gas supply (270),0.951,"340,367 ","341,152 ", -   , -   , -   , 785 , -   ," 340,367 ", -   , -   , - ,-," 4,434 "," 336,699 ", 19 , -   ,-
Jimblebar Mine,BHP IRON ORE PTY LTD,WA,Metal ore mining (080),0.951,"302,155 ","310,615 ", -   , -   , -   ," 8,460 ", -   ," 302,155 ", -   , -   , - ,-," 309,270 ", 442 , 903 , -   ,-
Jundee Gold Mine,NORTHERN STAR RESOURCES LIMITED,WA,Metal ore mining (080),0.951,"133,307 ","144,622 ", -   , -   , -   ," 11,315 ", -   ," 133,307 ", -   , -   , - ,-," 144,152 ", 248 , 220 , 2 ,-
Kemerton Silicon Smelter,SIMCOA OPERATIONS PTY. LTD.,WA,Basic non-ferrous metal manufacturing (213),0.951,"100,000 ","95,384 ", -   , -   , -   , -   , -   ," 95,384 ","-4,616 ", -   , - ,-," 95,357 ", 11 , 7 , 9 ,The facility is an eligible facility under 58B.
